Where in your CV this entry belongs,Main title of the entry,Location the entry occured,Primary institution affiliation for entry,Start date of entry (year),"End year of entry. Set to ""current"" if entry is still ongoing.","Each description column is a separate bullet point for the entry. If you need more description bullet points simply add a new column with title ""description_{4,5,..}""",,,,,,,A filter variable that is used to decide if entry is in the smaller resume.,,
section,title,loc,institution,start,end,description_1,description_2,description_3,description_4,description_5,description_6,description_7,in_resume,in_cv,in_engineer_cv
education,MSci Biology,University of Southampton,"Southampton, UK",2015,2019,**Grade **: First Class Honours,Winner of the British Society for Immunology Graduate of the year award.,Recipient of the summer studentship from the Genetics Society (2017).,,,,,TRUE,TRUE,TRUE
education,School,Merchiston Castle School,"Edinburgh, UK",2013,2015,"A Levels: Biology, Chemistry, Maths",,,,,,,TRUE,TRUE,TRUE
industry_positions,Senior Computational Biologist,[CoSyne Therapeutics](https://www.cosyne.com/),"London, UK",2023,2026,"Led analysis of large-scale genomic datasets to support biomarker discovery and target identification, translating complex results into clear, decision-ready outputs for cross-functional teams. Culminated in the successful partnership with a publicly traded biotech.","Co-Developed and maintained internal & open source R and Python packages. For statistical modelling, data processing and visualisation. Bixverse, is a Rust based R package enabling the analysis of 3 million single cells on a standard laptop. Cosyne-cnvutils is a python package used for the analysis of genomics data.","Developed internal container system using Docker and ECR, to enable reproducible research. This system used CI/CD to build images robustly and securely. "," Recognized as a named
contributor in version 3.4.1 of the NF-core Sarek pipeline. Optimised the running of the pipeline, achieving a 50% cost reduction
and 30% decrease in computational time per sample.","Co-developed an internal MCP server exposing CoSyne's omics lakehouse and public biomedical APIs to LLM agents. Authored the DuckLake SQL catalog and query layer: a curated, allowlisted table catalog encoding row grain, join keys and data caveats, with server-side SELECT-only validation and row caps forming the safety boundary for model-generated SQL. Connected to Claude, enabling agents to reason across internal and public data and generate testable hypotheses.","Led ingestion for the company DuckLake lakehouse, a Postgres catalog over Parquet on S3 queried with DuckDB, landing 70+ schema-validated tables spanning internal RNA-seq, WGS, methylation, CRISPR and dose-response data alongside OpenTargets, DepMap, CCLE/PRISM and Orphanet. Built a polars and pandera validation layer enforcing a declared schema on every write, shipped via Docker/ECR images and GitLab and GitHub CI.",,TRUE,FALSE,TRUE
industry_positions,Senior Computational Biologist,[CoSyne Therapeutics](https://www.cosyne.com/),"London, UK",2023,2026,"Designed and implemented the end-to-end bioinformatic analysis for high-throughput single cell mosaic drug screening, deploying hyperscale cloud infrastructure to run alignment and quality-control pipelines for ~3 million cells. Designed and implemented scalable analysis tools (bixverse, contributor) for cell demultiplexing, sensitivity profiling of cell lines, transcriptomic stratification and multi-omic biomarker identification.","Drove biomarker discovery in glioblastoma by conducting WGS analysis on 80 primary tumour-derived cell lines, delivering comprehensive genetic characterisation (SNVs, SVs, CNVs). Integrated genomic profiles with CRISPRi screen data using advanced statistical models to uncover novel genetic dependencies and biomarker-target pairs.","Built a target prioritisation framework that integrated high-throughput CRISPRi phenotypic screen data with public evidence from OpenTargets, enabling systematic ranking of candidate targets to feed the discovery pipeline.","Co-developed an agentic hypothesis-generation platform that integrates CoSyne's internal omics data with public evidence from OpenTargets, ChEMBL, DepMap and ClinicalTrials.gov. Exposed to Claude as a set of MCP tools, agents plan and execute their own multi-step queries across both, chaining rare-variant genetic evidence to CRISPR dependencies and drug tractability to propose and rank novel target hypotheses for experimental follow-up.","Owned ingestion into the company DuckLake lakehouse, curating 70+ schema-validated tables that unify internal RNA-seq, WGS, methylation, CRISPR and drug-response data with public resources including OpenTargets, DepMap NextGen 3D screens, CCLE/PRISM and Orphanet, creating a single queryable evidence base for target identification.","Executed single-cell CNV (sc-CNV)
calling on proprietary perturb scRNA-seq data, identifying sub-clonal populations and
contributing to the target identification platform.",Internal R&D: Responsible for developing an internal container system using Docker and ECR. Author and Lead developer on several internal R and Python packages with responsibilities for maintenance. Established best practices for code development and review. Designed the templating system for all internal projects & packages using cruft.,TRUE,TRUE,FALSE
industry_positions,Computational Biologist ,[Fios Genomics](https://www.fiosgenomics.com/),"Edinburgh, UK",2020,2023,"Directed projects focusing on high-dimensional
omics data types (WES, WGS, scRNA-seq, proteomics), delivering comprehensive analyses and
reports for clients.","Developed in-depth knowledge of statistical
methodologies, mastering model selection and fitting techniques, including SVM, elastic net,
random forest, and linear/logistic regression, while accounting for covariates.","Actively contributed to internal
R&D by developing and maintaining specialized R packages, enhancing the team's analytical
capabilities.","Led client calls, effectively communicating
complex analytical results, ensuring clarity and client understanding.",,,,TRUE,TRUE,TRUE
industry_positions,Computational Biologist ,"[Complex Diseases Epigenetics group, Exeter Medical School](https://www.epigenomicslab.com/)","Exeter, UK",2019,2020,"Developed novel bioinformatics pipelines for Epigenome/Genome wide association studies, mQTL
analysis and quality control of Illumina EPIC array data.","Took the lead on a project performing EWAS and GWAS analysis in ADHD patients. This involved
fitting linear and logistic regression models while accounting for covariates.","Was selected for a secondment to New York to work at the
Mount Sinai medical school as a visiting bioinformatician (cancelled due to COVID-19).",,,,,TRUE,TRUE,FALSE
industry_positions,Computational Biologist ,"[Complex Diseases Epigenetics group, Exeter Medical School](https://www.epigenomicslab.com/)","Exeter, UK",2019,2020,Developed novel bioinformatics pipelines for processing genomics data.,"Gained an understanding of regression analysis, how to account for covariates, feature selection and optimal model fitting.",,,,,,TRUE,FALSE,TRUE
academic_articles,TP53 and RB1 are predictive genetic biomarkers for sensitivity to cytarabine in gliomas,BioRxiv,,,2025,"L. Laaniste, J. Luginbuehl, M. Trinh, R. Watkins, G. Lueg, **G. Neilson**, et al.",,doi: https://doi.org/10.1101/2025.11.20.688938,,,,,TRUE,TRUE,TRUE
academic_articles,Multi modal single cell foundation models via dynamic token adaptation,BioRxiv,,,2025,"W. Zhao, A. Solaguren-Beascoa, **G. Neilson**, et al.",,doi: https://doi.org/10.1101/2025.04.17.649387,,,,,TRUE,TRUE,TRUE
academic_articles,Detecting cell level transcriptomic changes of Perturb seq using Contrastive Fine tuning of Single Cell Foundation Models,BioRxiv,,,2025,"W. Zhao, A. Solaguren-Beascoa, **G. Neilson**, et al.",,doi: https://doi.org/10.1101/2025.04.17.649395,,,,,TRUE,TRUE,TRUE
academic_articles,Recalibrating the epigenetic clock: implications for assessing biological age in the human cortex,Brain,,,2020,"G. Shireby, J. Davies, P. Francis, J. Burrage, E. Walker, **G. Neilson**, et al.",,,,,,,FALSE,FALSE,FALSE
academic_articles,Social mobility across the lifecourse and DNA methylation age acceleration in adults in the UK,Scientific Reports,,,2022,"Y. Bao, T. Gorrie-Stone, E. Hannon, A. Hughes, A. Andrayas, **G. Neilson**, J. Burrage, J. Mill, L. Schalkwyk & M. Kumari",,,,,,,FALSE,FALSE,FALSE
academic_articles,Novel epigenetic clock for fetal brain development predicts prenatal age for cellular stem cell models and derived neurons,Molecular Brain,,,2021,"L. Steg, G. Shireby, J. Imm, J. Davies, A. Franklin, R. Flynn, S. Namboori, A. Bhinge, A. Jeffries, J. Burrage, **G. Neilson**, et al.",,,,,,,FALSE,FALSE,FALSE
